ID_Trecho,Estado,Consumo_Mensal_m3,Variação_Consumo_%,Temperatura_Média_°C,Pressão_na_Rede_bar,Idade_Duto_anos,Histórico_Falhas_12M,Manutenções_12M,Tipo_Cliente,Múltiplas_Previsões,Contexto_Explicativo,Código_Auxiliar,Perguntas_Reflexivas,Estímulo_Direcional
11,Roraima,5859,-1.57,27.28,3.46,44,1,0,Comercial,Previsão 1: 8769.44 m³ | Previsão 2: 9626.80 m³,A demanda de gás nesta região é influenciada pela temperatura média de 23.9°C e variação de consumo de 9.87%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
12,Amazonas,7331,1.59,25.59,4.78,39,0,0,Residencial,Previsão 1: 8013.78 m³ | Previsão 2: 12476.09 m³,A demanda de gás nesta região é influenciada pela temperatura média de 22.1°C e variação de consumo de -13.89%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
13,Amazonas,9571,2.78,25.92,4.78,27,2,1,Residencial,Previsão 1: 10027.20 m³ | Previsão 2: 7322.13 m³,A demanda de gás nesta região é influenciada pela temperatura média de 32.5°C e variação de consumo de 2.89%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
14,Pará,9684,-12.57,32.66,4.47,10,2,1,Residencial,Previsão 1: 13995.75 m³ | Previsão 2: 8838.91 m³,A demanda de gás nesta região é influenciada pela temperatura média de 34.8°C e variação de consumo de -8.10%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
15,Mato Grosso,8208,-3.91,33.95,3.55,26,0,0,Residencial,Previsão 1: 10435.53 m³ | Previsão 2: 14064.72 m³,A demanda de gás nesta região é influenciada pela temperatura média de 27.9°C e variação de consumo de -11.38%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
16,Amazonas,6276,-7.74,21.06,4.2,19,4,1,Comercial,Previsão 1: 11242.38 m³ | Previsão 2: 6168.98 m³,A demanda de gás nesta região é influenciada pela temperatura média de 22.6°C e variação de consumo de -12.69%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
17,Rondônia,3062,9.09,23.13,3.71,39,0,0,Residencial,Previsão 1: 14398.32 m³ | Previsão 2: 11277.08 m³,A demanda de gás nesta região é influenciada pela temperatura média de 24.1°C e variação de consumo de 5.89%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
18,Pará,1064,-0.89,30.07,3.29,3,1,1,Comercial,Previsão 1: 8349.06 m³ | Previsão 2: 6392.72 m³,A demanda de gás nesta região é influenciada pela temperatura média de 20.3°C e variação de consumo de -4.80%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
19,Amapá,9006,14.5,25.38,1.51,45,0,0,Comercial,Previsão 1: 12940.25 m³ | Previsão 2: 11200.73 m³,A demanda de gás nesta região é influenciada pela temperatura média de 33.7°C e variação de consumo de 6.74%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
20,Mato Grosso,3568,-3.04,23.81,4.24,13,2,0,Industrial,Previsão 1: 10334.61 m³ | Previsão 2: 13938.93 m³,A demanda de gás nesta região é influenciada pela temperatura média de 21.8°C e variação de consumo de -13.04%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
21,Rondônia,6463,9.49,24.43,4.28,28,0,0,Comercial,Previsão 1: 12885.97 m³ | Previsão 2: 6516.75 m³,A demanda de gás nesta região é influenciada pela temperatura média de 28.6°C e variação de consumo de -5.54%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
22,Rondônia,3027,8.95,24.84,3.5,20,4,1,Industrial,Previsão 1: 8117.22 m³ | Previsão 2: 7484.89 m³,A demanda de gás nesta região é influenciada pela temperatura média de 24.1°C e variação de consumo de 1.18%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
23,Amapá,3695,-10.48,32.73,4.28,28,3,1,Comercial,Previsão 1: 12439.46 m³ | Previsão 2: 5335.32 m³,A demanda de gás nesta região é influenciada pela temperatura média de 28.3°C e variação de consumo de 8.72%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
24,Mato Grosso,6258,0.25,22.05,3.61,8,0,1,Comercial,Previsão 1: 10698.90 m³ | Previsão 2: 12624.59 m³,A demanda de gás nesta região é influenciada pela temperatura média de 29.8°C e variação de consumo de -5.44%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
25,Pará,6618,5.87,30.63,1.83,41,4,0,Comercial,Previsão 1: 13767.66 m³ | Previsão 2: 8420.82 m³,A demanda de gás nesta região é influenciada pela temperatura média de 32.4°C e variação de consumo de 3.78%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
26,Acre,7736,10.75,28.29,2.1,39,4,1,Industrial,Previsão 1: 13212.57 m³ | Previsão 2: 6106.32 m³,A demanda de gás nesta região é influenciada pela temperatura média de 23.1°C e variação de consumo de 11.58%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
27,Mato Grosso,1391,-5.22,24.45,1.86,1,2,1,Industrial,Previsão 1: 13464.52 m³ | Previsão 2: 6274.89 m³,A demanda de gás nesta região é influenciada pela temperatura média de 20.2°C e variação de consumo de 3.48%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
28,Amapá,6892,-8.39,26.3,2.51,3,4,0,Residencial,Previsão 1: 8972.87 m³ | Previsão 2: 12972.95 m³,A demanda de gás nesta região é influenciada pela temperatura média de 22.1°C e variação de consumo de -8.01%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
29,Rondônia,4561,6.33,23.84,1.16,13,4,2,Industrial,Previsão 1: 6499.17 m³ | Previsão 2: 7292.51 m³,A demanda de gás nesta região é influenciada pela temperatura média de 33.5°C e variação de consumo de -14.27%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
30,Pará,7184,9.29,29.17,3.47,28,4,0,Industrial,Previsão 1: 12222.53 m³ | Previsão 2: 12200.37 m³,A demanda de gás nesta região é influenciada pela temperatura média de 33.1°C e variação de consumo de 11.10%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
31,Mato Grosso,4099,-4.54,21.22,2.35,49,4,1,Industrial,Previsão 1: 11411.48 m³ | Previsão 2: 11939.48 m³,A demanda de gás nesta região é influenciada pela temperatura média de 29.0°C e variação de consumo de -14.36%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
32,Acre,7278,-12.11,20.08,3.62,25,1,0,Industrial,Previsão 1: 10427.24 m³ | Previsão 2: 7517.99 m³,A demanda de gás nesta região é influenciada pela temperatura média de 29.0°C e variação de consumo de 11.24%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
33,Acre,9392,13.22,29.42,2.54,33,1,2,Residencial,Previsão 1: 8456.96 m³ | Previsão 2: 6815.98 m³,A demanda de gás nesta região é influenciada pela temperatura média de 30.0°C e variação de consumo de 0.87%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
34,Amazonas,4104,-3.07,22.91,3.73,38,2,0,Industrial,Previsão 1: 14084.51 m³ | Previsão 2: 10833.92 m³,A demanda de gás nesta região é influenciada pela temperatura média de 22.6°C e variação de consumo de 13.17%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
35,Amazonas,8215,0.53,21.06,2.36,6,0,1,Comercial,Previsão 1: 9008.51 m³ | Previsão 2: 9620.06 m³,A demanda de gás nesta região é influenciada pela temperatura média de 33.7°C e variação de consumo de 8.96%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
36,Roraima,3454,10.13,25.95,2.04,44,4,2,Comercial,Previsão 1: 14472.83 m³ | Previsão 2: 6533.51 m³,A demanda de gás nesta região é influenciada pela temperatura média de 26.3°C e variação de consumo de 14.94%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
37,Amapá,9996,5.27,20.76,2.98,45,0,1,Industrial,Previsão 1: 10862.30 m³ | Previsão 2: 10058.89 m³,A demanda de gás nesta região é influenciada pela temperatura média de 25.7°C e variação de consumo de -4.48%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
38,Mato Grosso,3731,7.06,33.3,3.77,32,0,2,Industrial,Previsão 1: 11114.54 m³ | Previsão 2: 5181.10 m³,A demanda de gás nesta região é influenciada pela temperatura média de 27.8°C e variação de consumo de 8.02%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
39,Mato Grosso,9154,-8.73,20.41,2.39,45,2,2,Comercial,Previsão 1: 13721.24 m³ | Previsão 2: 14321.18 m³,A demanda de gás nesta região é influenciada pela temperatura média de 20.7°C e variação de consumo de -2.94%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
40,Roraima,6056,1.24,28.68,4.75,47,4,0,Comercial,Previsão 1: 10651.33 m³ | Previsão 2: 11966.51 m³,A demanda de gás nesta região é influenciada pela temperatura média de 22.5°C e variação de consumo de -0.60%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
41,Rondônia,9110,5.87,26.58,1.16,21,4,0,Residencial,Previsão 1: 14224.99 m³ | Previsão 2: 12072.39 m³,A demanda de gás nesta região é influenciada pela temperatura média de 31.1°C e variação de consumo de 3.83%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
42,Rondônia,4840,-8.14,30.08,2.67,16,3,1,Comercial,Previsão 1: 6525.39 m³ | Previsão 2: 10762.88 m³,A demanda de gás nesta região é influenciada pela temperatura média de 21.2°C e variação de consumo de 11.21%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
43,Roraima,2028,-9.75,24.92,4.87,21,0,0,Comercial,Previsão 1: 11067.15 m³ | Previsão 2: 9241.31 m³,A demanda de gás nesta região é influenciada pela temperatura média de 29.0°C e variação de consumo de 14.52%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
44,Rondônia,8385,14.47,22.33,3.19,11,0,0,Industrial,Previsão 1: 12364.44 m³ | Previsão 2: 14343.67 m³,A demanda de gás nesta região é influenciada pela temperatura média de 23.7°C e variação de consumo de 8.05%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
45,Amazonas,1502,0.5,34.73,2.69,37,1,2,Comercial,Previsão 1: 14255.69 m³ | Previsão 2: 9508.39 m³,A demanda de gás nesta região é influenciada pela temperatura média de 25.8°C e variação de consumo de -2.47%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
46,Mato Grosso,7910,-7.18,32.58,3.27,36,3,0,Residencial,Previsão 1: 6132.38 m³ | Previsão 2: 14848.41 m³,A demanda de gás nesta região é influenciada pela temperatura média de 24.3°C e variação de consumo de -2.36%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
47,Roraima,7938,14.89,32.91,3.3,35,1,2,Comercial,Previsão 1: 13388.98 m³ | Previsão 2: 6246.63 m³,A demanda de gás nesta região é influenciada pela temperatura média de 25.3°C e variação de consumo de 7.13%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
48,Mato Grosso,5488,13.96,23.75,3.93,19,1,2,Industrial,Previsão 1: 14208.42 m³ | Previsão 2: 13698.96 m³,A demanda de gás nesta região é influenciada pela temperatura média de 30.8°C e variação de consumo de -7.84%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
49,Acre,1206,1.75,20.58,1.51,20,1,2,Industrial,Previsão 1: 10188.38 m³ | Previsão 2: 10912.75 m³,A demanda de gás nesta região é influenciada pela temperatura média de 24.5°C e variação de consumo de -11.69%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
50,Amazonas,6134,11.48,24.55,2.0,18,2,1,Comercial,Previsão 1: 8990.03 m³ | Previsão 2: 5547.62 m³,A demanda de gás nesta região é influenciada pela temperatura média de 28.5°C e variação de consumo de -4.36%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
51,Pará,6977,-9.34,28.06,3.32,47,2,1,Industrial,Previsão 1: 8351.97 m³ | Previsão 2: 13028.53 m³,A demanda de gás nesta região é influenciada pela temperatura média de 27.1°C e variação de consumo de -6.38%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
52,Amazonas,8721,-6.63,24.9,4.47,41,1,1,Residencial,Previsão 1: 5046.32 m³ | Previsão 2: 8334.99 m³,A demanda de gás nesta região é influenciada pela temperatura média de 30.0°C e variação de consumo de -6.11%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
53,Roraima,8035,6.01,32.42,3.25,49,3,2,Residencial,Previsão 1: 8981.69 m³ | Previsão 2: 10373.96 m³,A demanda de gás nesta região é influenciada pela temperatura média de 34.1°C e variação de consumo de -7.99%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
54,Pará,2484,10.4,24.07,1.95,14,0,1,Comercial,Previsão 1: 14198.56 m³ | Previsão 2: 8463.46 m³,A demanda de gás nesta região é influenciada pela temperatura média de 31.0°C e variação de consumo de -13.74%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
55,Acre,8858,10.69,34.48,3.72,15,3,1,Comercial,Previsão 1: 8469.53 m³ | Previsão 2: 12375.01 m³,A demanda de gás nesta região é influenciada pela temperatura média de 23.2°C e variação de consumo de -14.46%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
56,Roraima,1863,-2.86,26.86,3.96,31,4,0,Comercial,Previsão 1: 9522.18 m³ | Previsão 2: 7246.05 m³,A demanda de gás nesta região é influenciada pela temperatura média de 20.5°C e variação de consumo de 14.63%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
57,Amapá,3790,11.63,32.63,1.95,1,2,1,Industrial,Previsão 1: 9524.40 m³ | Previsão 2: 6408.57 m³,A demanda de gás nesta região é influenciada pela temperatura média de 23.9°C e variação de consumo de -2.17%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
58,Mato Grosso,8408,10.53,22.92,2.51,3,0,1,Residencial,Previsão 1: 6763.87 m³ | Previsão 2: 9983.68 m³,A demanda de gás nesta região é influenciada pela temperatura média de 28.9°C e variação de consumo de -3.47%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
59,Acre,9755,13.07,26.17,3.14,16,0,2,Residencial,Previsão 1: 9189.25 m³ | Previsão 2: 14148.46 m³,A demanda de gás nesta região é influenciada pela temperatura média de 20.8°C e variação de consumo de 5.39%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
60,Mato Grosso,6116,8.56,30.49,2.99,23,4,2,Industrial,Previsão 1: 8623.94 m³ | Previsão 2: 10805.88 m³,A demanda de gás nesta região é influenciada pela temperatura média de 27.4°C e variação de consumo de -8.45%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
61,Rondônia,7019,5.07,22.08,2.56,11,4,2,Residencial,Previsão 1: 11322.64 m³ | Previsão 2: 5130.94 m³,A demanda de gás nesta região é influenciada pela temperatura média de 29.0°C e variação de consumo de 13.50%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
62,Amapá,2757,2.42,21.99,2.19,12,1,2,Comercial,Previsão 1: 11635.37 m³ | Previsão 2: 6780.36 m³,A demanda de gás nesta região é influenciada pela temperatura média de 25.0°C e variação de consumo de 8.59%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
63,Amapá,8574,-3.83,34.54,1.4,10,2,2,Comercial,Previsão 1: 14610.70 m³ | Previsão 2: 6486.63 m³,A demanda de gás nesta região é influenciada pela temperatura média de 31.6°C e variação de consumo de -12.32%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Priorize a redução de custos
64,Acre,7374,13.2,30.72,1.21,32,2,2,Comercial,Previsão 1: 9146.24 m³ | Previsão 2: 5853.50 m³,A demanda de gás nesta região é influenciada pela temperatura média de 21.6°C e variação de consumo de -2.47%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Maximize a manutenção preventiva
65,Amapá,7892,14.21,20.62,4.83,16,3,1,Residencial,Previsão 1: 14968.74 m³ | Previsão 2: 10021.95 m³,A demanda de gás nesta região é influenciada pela temperatura média de 21.1°C e variação de consumo de 11.37%.,"def prever_consumo(historico):
    return sum(historico) / len(historico)  # Média móvel simples",O que pode impactar essa previsão? Qual foi o padrão nos últimos anos? O histórico de falhas é um fator crítico?,Foque na eficiência operacional
